/home/apiasecz/programming/concept_drift_optimal_adaptation_FL/src/test_loss_behavior_under_drift.py:171: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(model_path))
seed: 1
policy_id: 1
setting_id: 3
pi_bar: 0.05
drift_rate: 0.01
V: 65
Round 0: Accuracy = 0.7979, Decision = False
Round 1: Accuracy = 0.7863, Decision = False
Epoch 1/5, Loss: 0.7991
Epoch 2/5, Loss: 0.7195
Epoch 3/5, Loss: 0.6714
Epoch 4/5, Loss: 0.6263
Epoch 5/5, Loss: 0.5699
Round 2: Accuracy = 0.7788, Decision = True
Round 3: Accuracy = 0.6411, Decision = False
Round 4: Accuracy = 0.6335, Decision = False
Round 5: Accuracy = 0.6239, Decision = False
Round 6: Accuracy = 0.6248, Decision = False
Round 7: Accuracy = 0.6215, Decision = False
Round 8: Accuracy = 0.6174, Decision = False
Round 9: Accuracy = 0.6168, Decision = False
Round 10: Accuracy = 0.6138, Decision = False
Round 11: Accuracy = 0.6084, Decision = False
Round 12: Accuracy = 0.6096, Decision = False
Round 13: Accuracy = 0.6108, Decision = False
Epoch 1/5, Loss: 0.7650
Epoch 2/5, Loss: 0.7975
Epoch 3/5, Loss: 0.7297
Epoch 4/5, Loss: 0.6730
Epoch 5/5, Loss: 0.7025
Round 14: Accuracy = 0.6118, Decision = True
Round 15: Accuracy = 0.6788, Decision = False
Round 16: Accuracy = 0.6720, Decision = False
Round 17: Accuracy = 0.6669, Decision = False
Round 18: Accuracy = 0.6675, Decision = False
Round 19: Accuracy = 0.6640, Decision = False
Round 20: Accuracy = 0.6641, Decision = False
Round 21: Accuracy = 0.6672, Decision = False
Round 22: Accuracy = 0.6621, Decision = False
Round 23: Accuracy = 0.6594, Decision = False
Round 24: Accuracy = 0.6596, Decision = False
Round 25: Accuracy = 0.6596, Decision = False
Round 26: Accuracy = 0.4961, Decision = False
Epoch 1/5, Loss: 0.8595
Epoch 2/5, Loss: 0.7891
Epoch 3/5, Loss: 0.7589
Epoch 4/5, Loss: 0.6903
Epoch 5/5, Loss: 0.6881
Round 27: Accuracy = 0.6191, Decision = True
Round 28: Accuracy = 0.5773, Decision = False
Round 29: Accuracy = 0.6039, Decision = False
Round 30: Accuracy = 0.6193, Decision = False
Round 31: Accuracy = 0.6387, Decision = False
Round 32: Accuracy = 0.6355, Decision = False
Round 33: Accuracy = 0.6230, Decision = False
Round 34: Accuracy = 0.6300, Decision = False
Round 35: Accuracy = 0.6172, Decision = False
Round 36: Accuracy = 0.6211, Decision = False
Round 37: Accuracy = 0.6211, Decision = False
Epoch 1/5, Loss: 0.7464
Epoch 2/5, Loss: 0.7611
Epoch 3/5, Loss: 0.7894
Epoch 4/5, Loss: 0.7258
Epoch 5/5, Loss: 0.7162
Round 38: Accuracy = 0.6209, Decision = True
Round 39: Accuracy = 0.6628, Decision = False
Round 40: Accuracy = 0.6656, Decision = False
Round 41: Accuracy = 0.6685, Decision = False
Round 42: Accuracy = 0.6703, Decision = False
Round 43: Accuracy = 0.6660, Decision = False
Round 44: Accuracy = 0.6676, Decision = False
Round 45: Accuracy = 0.6686, Decision = False
Round 46: Accuracy = 0.6703, Decision = False
Round 47: Accuracy = 0.6672, Decision = False
Round 48: Accuracy = 0.6616, Decision = False
Round 49: Accuracy = 0.6612, Decision = False
Epoch 1/5, Loss: 0.7480
Epoch 2/5, Loss: 0.7776
Epoch 3/5, Loss: 0.7008
Epoch 4/5, Loss: 0.7172
Epoch 5/5, Loss: 0.6893
Round 50: Accuracy = 0.6608, Decision = True
Round 51: Accuracy = 0.6934, Decision = False
Round 52: Accuracy = 0.6923, Decision = False
Round 53: Accuracy = 0.6952, Decision = False
Round 54: Accuracy = 0.6921, Decision = False
Round 55: Accuracy = 0.6945, Decision = False
Round 56: Accuracy = 0.6911, Decision = False
Round 57: Accuracy = 0.6907, Decision = False
Round 58: Accuracy = 0.6881, Decision = False
Round 59: Accuracy = 0.6833, Decision = False
Round 60: Accuracy = 0.6516, Decision = False
