/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/nn/modules/conv.py:456: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return F.conv2d(input, weight, bias, self.stride,
/home/apiasecz/.conda/envs/cent7/2024.02-py311/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
seed: 4
policy_id: 1
setting_id: 0
pi_bar: 0.1
drift_rate: 0.01
V: 2
Round 0: Accuracy = 0.8188, Decision = False
Round 1: Accuracy = 0.8097, Decision = False
Round 2: Accuracy = 0.8081, Decision = False
Round 3: Accuracy = 0.8083, Decision = False
Round 4: Accuracy = 0.8037, Decision = False
Round 5: Accuracy = 0.7988, Decision = False
Round 6: Accuracy = 0.7940, Decision = False
Epoch 1/5, Loss: 0.8842
Epoch 2/5, Loss: 0.6144
Epoch 3/5, Loss: 0.5343
Epoch 4/5, Loss: 0.5163
Epoch 5/5, Loss: 0.4982
Round 7: Accuracy = 0.7873, Decision = True
Round 8: Accuracy = 0.7559, Decision = False
Round 9: Accuracy = 0.7547, Decision = False
Round 10: Accuracy = 0.7495, Decision = False
Round 11: Accuracy = 0.7460, Decision = False
Round 12: Accuracy = 0.7402, Decision = False
Round 13: Accuracy = 0.7370, Decision = False
Round 14: Accuracy = 0.7340, Decision = False
Round 15: Accuracy = 0.7283, Decision = False
Epoch 1/5, Loss: 0.5867
Epoch 2/5, Loss: 0.5574
Epoch 3/5, Loss: 0.5728
Epoch 4/5, Loss: 0.5379
Epoch 5/5, Loss: 0.5433
Round 16: Accuracy = 0.7279, Decision = True
Round 17: Accuracy = 0.6709, Decision = False
Epoch 1/5, Loss: 0.5504
Epoch 2/5, Loss: 0.5577
Epoch 3/5, Loss: 0.4923
Epoch 4/5, Loss: 0.4849
Epoch 5/5, Loss: 0.4530
Round 18: Accuracy = 0.6666, Decision = True
Round 19: Accuracy = 0.7056, Decision = False
Round 20: Accuracy = 0.7058, Decision = False
Round 21: Accuracy = 0.7034, Decision = False
Round 22: Accuracy = 0.7037, Decision = False
Round 23: Accuracy = 0.6984, Decision = False
Round 24: Accuracy = 0.6987, Decision = False
Epoch 1/5, Loss: 0.5414
Epoch 2/5, Loss: 0.5440
Epoch 3/5, Loss: 0.5727
Epoch 4/5, Loss: 0.5874
Epoch 5/5, Loss: 0.5727
Round 25: Accuracy = 0.6961, Decision = True
Round 26: Accuracy = 0.7500, Decision = False
Round 27: Accuracy = 0.6895, Decision = False
Round 28: Accuracy = 0.6805, Decision = False
Round 29: Accuracy = 0.6520, Decision = False
Round 30: Accuracy = 0.6711, Decision = False
Round 31: Accuracy = 0.6836, Decision = False
Round 32: Accuracy = 0.6816, Decision = False
Round 33: Accuracy = 0.6712, Decision = False
Round 34: Accuracy = 0.6529, Decision = False
Round 35: Accuracy = 0.6641, Decision = False
Round 36: Accuracy = 0.6619, Decision = False
Round 37: Accuracy = 0.6613, Decision = False
