/home/apiasecz/programming/concept_drift_optimal_adaptation_FL/src/test_loss_behavior_under_drift.py:171: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(model_path))
seed: 2
policy_id: 1
setting_id: 1
pi_bar: 0.15
drift_rate: 0.01
V: 65
Round 0: Accuracy = 0.7992, Decision = False
Epoch 1/5, Loss: 0.6348
Epoch 2/5, Loss: 0.5632
Epoch 3/5, Loss: 0.4971
Epoch 4/5, Loss: 0.4244
Epoch 5/5, Loss: 0.4076
Round 1: Accuracy = 0.7941, Decision = True
Round 2: Accuracy = 0.8002, Decision = False
Round 3: Accuracy = 0.7970, Decision = False
Round 4: Accuracy = 0.7910, Decision = False
Round 5: Accuracy = 0.7802, Decision = False
Round 6: Accuracy = 0.7724, Decision = False
Round 7: Accuracy = 0.7674, Decision = False
Round 8: Accuracy = 0.7625, Decision = False
Round 9: Accuracy = 0.7569, Decision = False
Round 10: Accuracy = 0.7497, Decision = False
Round 11: Accuracy = 0.7438, Decision = False
Epoch 1/5, Loss: 0.5763
Epoch 2/5, Loss: 0.6642
Epoch 3/5, Loss: 0.6461
Epoch 4/5, Loss: 0.6799
Epoch 5/5, Loss: 0.5719
Round 12: Accuracy = 0.7396, Decision = True
Round 13: Accuracy = 0.6880, Decision = False
Round 14: Accuracy = 0.6851, Decision = False
Round 15: Accuracy = 0.6788, Decision = False
Round 16: Accuracy = 0.6727, Decision = False
Round 17: Accuracy = 0.6695, Decision = False
Round 18: Accuracy = 0.6638, Decision = False
Epoch 1/5, Loss: 0.6400
Epoch 2/5, Loss: 0.5816
Epoch 3/5, Loss: 0.5329
Epoch 4/5, Loss: 0.4935
Epoch 5/5, Loss: 0.5106
Round 19: Accuracy = 0.6609, Decision = True
Round 20: Accuracy = 0.6719, Decision = False
Epoch 1/5, Loss: 0.6034
Epoch 2/5, Loss: 0.6481
Epoch 3/5, Loss: 0.6675
Epoch 4/5, Loss: 0.6157
Epoch 5/5, Loss: 0.5584
Round 21: Accuracy = 0.6692, Decision = True
Round 22: Accuracy = 0.6535, Decision = False
Epoch 1/5, Loss: 0.5286
Epoch 2/5, Loss: 0.5046
Epoch 3/5, Loss: 0.4730
Epoch 4/5, Loss: 0.5604
Epoch 5/5, Loss: 0.5056
Round 23: Accuracy = 0.6538, Decision = True
Epoch 1/5, Loss: 0.4609
Epoch 2/5, Loss: 0.4230
Epoch 3/5, Loss: 0.4555
Epoch 4/5, Loss: 0.4289
Epoch 5/5, Loss: 0.4478
Round 24: Accuracy = 0.7232, Decision = True
Round 25: Accuracy = 0.6860, Decision = False
Round 26: Accuracy = 0.7637, Decision = False
Epoch 1/5, Loss: 0.4436
Epoch 2/5, Loss: 0.4325
Epoch 3/5, Loss: 0.4416
Epoch 4/5, Loss: 0.4412
Epoch 5/5, Loss: 0.3950
Round 27: Accuracy = 0.6387, Decision = True
Round 28: Accuracy = 0.6805, Decision = False
Round 29: Accuracy = 0.6750, Decision = False
Round 30: Accuracy = 0.6904, Decision = False
Round 31: Accuracy = 0.6855, Decision = False
Round 32: Accuracy = 0.6730, Decision = False
Round 33: Accuracy = 0.6797, Decision = False
Round 34: Accuracy = 0.6688, Decision = False
Round 35: Accuracy = 0.6680, Decision = False
Round 36: Accuracy = 0.6719, Decision = False
Round 37: Accuracy = 0.6656, Decision = False
Round 38: Accuracy = 0.6605, Decision = False
Round 39: Accuracy = 0.6576, Decision = False
Round 40: Accuracy = 0.6535, Decision = False
Round 41: Accuracy = 0.6551, Decision = False
Round 42: Accuracy = 0.6535, Decision = False
Round 43: Accuracy = 0.6562, Decision = False
