/home/apiasecz/programming/concept_drift_optimal_adaptation_FL/src/test_loss_behavior_under_drift.py:171: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(model_path))
seed: 0
policy_id: 1
setting_id: 1
pi_bar: 0.15
drift_rate: 0.01
V: 65
Round 0: Accuracy = 0.8214, Decision = False
Round 1: Accuracy = 0.8090, Decision = False
Round 2: Accuracy = 0.8067, Decision = False
Round 3: Accuracy = 0.7957, Decision = False
Round 4: Accuracy = 0.7881, Decision = False
Round 5: Accuracy = 0.7809, Decision = False
Round 6: Accuracy = 0.7765, Decision = False
Round 7: Accuracy = 0.7723, Decision = False
Round 8: Accuracy = 0.7674, Decision = False
Round 9: Accuracy = 0.7607, Decision = False
Round 10: Accuracy = 0.7582, Decision = False
Round 11: Accuracy = 0.7529, Decision = False
Round 12: Accuracy = 0.7475, Decision = False
Round 13: Accuracy = 0.7425, Decision = False
Epoch 1/5, Loss: 0.9468
Epoch 2/5, Loss: 0.6384
Epoch 3/5, Loss: 0.5019
Epoch 4/5, Loss: 0.5076
Epoch 5/5, Loss: 0.4746
Round 14: Accuracy = 0.7424, Decision = True
Epoch 1/5, Loss: 0.3997
Epoch 2/5, Loss: 0.4311
Epoch 3/5, Loss: 0.3915
Epoch 4/5, Loss: 0.3537
Epoch 5/5, Loss: 0.3328
Round 15: Accuracy = 0.7448, Decision = True
Epoch 1/5, Loss: 0.4202
Epoch 2/5, Loss: 0.3510
Epoch 3/5, Loss: 0.3110
Epoch 4/5, Loss: 0.3234
Epoch 5/5, Loss: 0.3090
Round 16: Accuracy = 0.7149, Decision = True
