/home/apiasecz/programming/concept_drift_optimal_adaptation_FL/src/test_loss_behavior_under_drift.py:171: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  model.load_state_dict(torch.load(model_path))
seed: 0
policy_id: 1
setting_id: 4
pi_bar: 0.03
drift_rate: 0.01
V: 65
Round 0: Accuracy = 0.8240, Decision = False
Round 1: Accuracy = 0.8116, Decision = False
Round 2: Accuracy = 0.8093, Decision = False
Round 3: Accuracy = 0.8038, Decision = False
Round 4: Accuracy = 0.7986, Decision = False
Round 5: Accuracy = 0.7986, Decision = False
Round 6: Accuracy = 0.7984, Decision = False
Round 7: Accuracy = 0.7928, Decision = False
Round 8: Accuracy = 0.7834, Decision = False
Round 9: Accuracy = 0.7744, Decision = False
Round 10: Accuracy = 0.7690, Decision = False
Round 11: Accuracy = 0.7633, Decision = False
Round 12: Accuracy = 0.7553, Decision = False
Round 13: Accuracy = 0.7541, Decision = False
Round 14: Accuracy = 0.7457, Decision = False
Round 15: Accuracy = 0.7387, Decision = False
Epoch 1/5, Loss: 0.9967
Epoch 2/5, Loss: 0.6870
Epoch 3/5, Loss: 0.5564
Epoch 4/5, Loss: 0.4638
Epoch 5/5, Loss: 0.4316
Round 16: Accuracy = 0.7328, Decision = True
Round 17: Accuracy = 0.7216, Decision = False
Round 18: Accuracy = 0.7156, Decision = False
Round 19: Accuracy = 0.7154, Decision = False
Round 20: Accuracy = 0.7152, Decision = False
Round 21: Accuracy = 0.7154, Decision = False
Round 22: Accuracy = 0.7125, Decision = False
Round 23: Accuracy = 0.7099, Decision = False
Round 24: Accuracy = 0.7070, Decision = False
Round 25: Accuracy = 0.7068, Decision = False
Round 26: Accuracy = 0.5273, Decision = False
Round 27: Accuracy = 0.7148, Decision = False
Round 28: Accuracy = 0.7416, Decision = False
Round 29: Accuracy = 0.7023, Decision = False
Round 30: Accuracy = 0.7177, Decision = False
Round 31: Accuracy = 0.6953, Decision = False
Round 32: Accuracy = 0.7070, Decision = False
Round 33: Accuracy = 0.7116, Decision = False
Epoch 1/5, Loss: 0.6250
Epoch 2/5, Loss: 0.6334
Epoch 3/5, Loss: 0.6139
Epoch 4/5, Loss: 0.5595
Epoch 5/5, Loss: 0.5302
Round 34: Accuracy = 0.7012, Decision = True
Round 35: Accuracy = 0.6934, Decision = False
Round 36: Accuracy = 0.6899, Decision = False
Round 37: Accuracy = 0.6914, Decision = False
Round 38: Accuracy = 0.6960, Decision = False
Round 39: Accuracy = 0.6947, Decision = False
Round 40: Accuracy = 0.6986, Decision = False
Round 41: Accuracy = 0.7003, Decision = False
Round 42: Accuracy = 0.6999, Decision = False
Round 43: Accuracy = 0.6992, Decision = False
Round 44: Accuracy = 0.7004, Decision = False
Round 45: Accuracy = 0.7029, Decision = False
Round 46: Accuracy = 0.6971, Decision = False
Round 47: Accuracy = 0.6961, Decision = False
Round 48: Accuracy = 0.6940, Decision = False
Round 49: Accuracy = 0.6902, Decision = False
Round 50: Accuracy = 0.6892, Decision = False
Round 51: Accuracy = 0.6882, Decision = False
Round 52: Accuracy = 0.6831, Decision = False
Round 53: Accuracy = 0.6815, Decision = False
Round 54: Accuracy = 0.6823, Decision = False
Round 55: Accuracy = 0.6791, Decision = False
Round 56: Accuracy = 0.6798, Decision = False
Round 57: Accuracy = 0.6771, Decision = False
Round 58: Accuracy = 0.6725, Decision = False
Round 59: Accuracy = 0.6708, Decision = False
Round 60: Accuracy = 0.6828, Decision = False
Round 61: Accuracy = 0.6590, Decision = False
Round 62: Accuracy = 0.6773, Decision = False
Round 63: Accuracy = 0.6601, Decision = False
Round 64: Accuracy = 0.6567, Decision = False
Round 65: Accuracy = 0.6554, Decision = False
Round 66: Accuracy = 0.6560, Decision = False
Round 67: Accuracy = 0.6537, Decision = False
Round 68: Accuracy = 0.6526, Decision = False
Round 69: Accuracy = 0.6533, Decision = False
Round 70: Accuracy = 0.6476, Decision = False
Round 71: Accuracy = 0.6472, Decision = False
Round 72: Accuracy = 0.6483, Decision = False
Round 73: Accuracy = 0.6506, Decision = False
Round 74: Accuracy = 0.6485, Decision = False
Round 75: Accuracy = 0.6456, Decision = False
Round 76: Accuracy = 0.6422, Decision = False
Round 77: Accuracy = 0.6407, Decision = False
Round 78: Accuracy = 0.6378, Decision = False
Round 79: Accuracy = 0.6373, Decision = False
Round 80: Accuracy = 0.6397, Decision = False
Round 81: Accuracy = 0.6388, Decision = False
Round 82: Accuracy = 0.6349, Decision = False
Round 83: Accuracy = 0.6927, Decision = False
Round 84: Accuracy = 0.6289, Decision = False
Round 85: Accuracy = 0.6213, Decision = False
Round 86: Accuracy = 0.6414, Decision = False
Round 87: Accuracy = 0.6286, Decision = False
Round 88: Accuracy = 0.6328, Decision = False
Round 89: Accuracy = 0.6199, Decision = False
Round 90: Accuracy = 0.6205, Decision = False
Round 91: Accuracy = 0.6223, Decision = False
Round 92: Accuracy = 0.6198, Decision = False
Round 93: Accuracy = 0.6164, Decision = False
Round 94: Accuracy = 0.6135, Decision = False
Round 95: Accuracy = 0.6090, Decision = False
Round 96: Accuracy = 0.6073, Decision = False
Epoch 1/5, Loss: 1.0420
Epoch 2/5, Loss: 0.8626
Epoch 3/5, Loss: 0.7539
Epoch 4/5, Loss: 0.7851
Epoch 5/5, Loss: 0.7491
Round 97: Accuracy = 0.6064, Decision = True
Round 98: Accuracy = 0.6193, Decision = False
Epoch 1/5, Loss: 0.7503
Epoch 2/5, Loss: 0.7421
Epoch 3/5, Loss: 0.7313
Epoch 4/5, Loss: 0.7374
Epoch 5/5, Loss: 0.6788
Round 99: Accuracy = 0.6181, Decision = True
Round 100: Accuracy = 0.7192, Decision = False
Round 101: Accuracy = 0.7185, Decision = False
Round 102: Accuracy = 0.7201, Decision = False
Round 103: Accuracy = 0.7567, Decision = False
Round 104: Accuracy = 0.7059, Decision = False
Round 105: Accuracy = 0.7113, Decision = False
Round 106: Accuracy = 0.7086, Decision = False
Round 107: Accuracy = 0.7065, Decision = False
Round 108: Accuracy = 0.7092, Decision = False
Round 109: Accuracy = 0.7080, Decision = False
Round 110: Accuracy = 0.7097, Decision = False
Round 111: Accuracy = 0.7121, Decision = False
Round 112: Accuracy = 0.7119, Decision = False
Round 113: Accuracy = 0.7127, Decision = False
Round 114: Accuracy = 0.7112, Decision = False
Round 115: Accuracy = 0.7098, Decision = False
Round 116: Accuracy = 0.7084, Decision = False
Round 117: Accuracy = 0.7070, Decision = False
Round 118: Accuracy = 0.7089, Decision = False
Round 119: Accuracy = 0.7087, Decision = False
Round 120: Accuracy = 0.7275, Decision = False
Round 121: Accuracy = 0.6946, Decision = False
Round 122: Accuracy = 0.7009, Decision = False
No available target samples left. Reusing existing target indices.
