Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
Round 0: Accuracy = 0.7913, Loss = 0.5429, Decision = 0
Round 1: Accuracy = 0.7913, Loss = 0.5435, Decision = 0
Round 2: Accuracy = 0.7910, Loss = 0.5439, Decision = 0
Round 3: Accuracy = 0.7907, Loss = 0.5447, Decision = 0
Round 4: Accuracy = 0.7904, Loss = 0.5456, Decision = 0
Round 5: Accuracy = 0.7908, Loss = 0.5464, Decision = 0
Round 6: Accuracy = 0.7905, Loss = 0.5474, Decision = 0
Round 7: Accuracy = 0.7903, Loss = 0.5487, Decision = 0
Round 8: Accuracy = 0.7903, Loss = 0.5497, Decision = 0
Round 9: Accuracy = 0.7899, Loss = 0.5505, Decision = 0
Round 10: Accuracy = 0.7894, Loss = 0.5514, Decision = 0
Round 11: Accuracy = 0.7894, Loss = 0.5523, Decision = 0
Round 12: Accuracy = 0.7895, Loss = 0.5535, Decision = 0
Round 13: Accuracy = 0.7894, Loss = 0.5547, Decision = 0
Round 14: Accuracy = 0.7892, Loss = 0.5556, Decision = 0
Round 15: Accuracy = 0.7888, Loss = 0.5567, Decision = 0
Round 16: Accuracy = 0.7886, Loss = 0.5576, Decision = 0
Round 17: Accuracy = 0.7888, Loss = 0.5586, Decision = 0
Round 18: Accuracy = 0.7881, Loss = 0.5601, Decision = 0
Round 19: Accuracy = 0.7877, Loss = 0.5612, Decision = 0
Round 20: Accuracy = 0.7873, Loss = 0.5626, Decision = 0
Round 21: Accuracy = 0.7873, Loss = 0.5639, Decision = 0
Round 22: Accuracy = 0.7864, Loss = 0.5657, Decision = 0
Round 23: Accuracy = 0.7863, Loss = 0.5672, Decision = 0
Round 24: Accuracy = 0.7862, Loss = 0.5688, Decision = 0
Round 25: Accuracy = 0.7856, Loss = 0.5704, Decision = 0
Round 26: Accuracy = 0.7852, Loss = 0.5723, Decision = 0
Round 27: Accuracy = 0.7847, Loss = 0.5742, Decision = 0
Round 28: Accuracy = 0.7842, Loss = 0.5759, Decision = 0
Round 29: Accuracy = 0.7837, Loss = 0.5780, Decision = 0
Round 30: Accuracy = 0.7835, Loss = 0.5794, Decision = 0
Round 31: Accuracy = 0.7827, Loss = 0.5823, Decision = 0
Round 32: Accuracy = 0.7818, Loss = 0.5843, Decision = 0
Round 33: Accuracy = 0.7814, Loss = 0.5864, Decision = 0
Round 34: Accuracy = 0.7813, Loss = 0.5883, Decision = 0
Round 35: Accuracy = 0.7811, Loss = 0.5904, Decision = 0
Round 36: Accuracy = 0.7808, Loss = 0.5921, Decision = 0
Round 37: Accuracy = 0.7802, Loss = 0.5941, Decision = 0
Round 38: Accuracy = 0.7797, Loss = 0.5962, Decision = 0
Round 39: Accuracy = 0.7789, Loss = 0.5985, Decision = 0
Round 40: Accuracy = 0.7784, Loss = 0.6006, Decision = 0
Round 41: Accuracy = 0.7778, Loss = 0.6028, Decision = 0
Round 42: Accuracy = 0.7779, Loss = 0.6051, Decision = 0
Round 43: Accuracy = 0.7768, Loss = 0.6075, Decision = 0
Round 44: Accuracy = 0.7766, Loss = 0.6098, Decision = 0
Round 45: Accuracy = 0.7757, Loss = 0.6121, Decision = 0
Round 46: Accuracy = 0.7752, Loss = 0.6146, Decision = 0
Round 47: Accuracy = 0.7743, Loss = 0.6173, Decision = 0
Round 48: Accuracy = 0.7737, Loss = 0.6201, Decision = 0
Round 49: Accuracy = 0.7734, Loss = 0.6229, Decision = 0
Round 50: Accuracy = 0.7726, Loss = 0.6257, Decision = 0
Round 51: Accuracy = 0.7722, Loss = 0.6283, Decision = 0
Round 52: Accuracy = 0.7722, Loss = 0.6313, Decision = 0
Round 53: Accuracy = 0.7713, Loss = 0.6341, Decision = 0
Round 54: Accuracy = 0.7705, Loss = 0.6369, Decision = 0
Round 55: Accuracy = 0.7691, Loss = 0.6398, Decision = 0
Round 56: Accuracy = 0.7684, Loss = 0.6428, Decision = 0
Round 57: Accuracy = 0.7677, Loss = 0.6459, Decision = 0
Round 58: Accuracy = 0.7670, Loss = 0.6489, Decision = 0
Round 59: Accuracy = 0.7661, Loss = 0.6523, Decision = 0
Round 60: Accuracy = 0.7651, Loss = 0.6555, Decision = 0
Round 61: Accuracy = 0.7640, Loss = 0.6592, Decision = 0
Round 62: Accuracy = 0.7629, Loss = 0.6626, Decision = 0
Round 63: Accuracy = 0.7620, Loss = 0.6658, Decision = 0
Round 64: Accuracy = 0.7614, Loss = 0.6694, Decision = 0
Round 65: Accuracy = 0.7608, Loss = 0.6730, Decision = 0
Round 66: Accuracy = 0.7595, Loss = 0.6767, Decision = 0
Round 67: Accuracy = 0.7586, Loss = 0.6800, Decision = 0
Round 68: Accuracy = 0.7582, Loss = 0.6834, Decision = 0
Round 69: Accuracy = 0.7574, Loss = 0.6869, Decision = 0
Round 70: Accuracy = 0.7562, Loss = 0.6906, Decision = 0
Round 71: Accuracy = 0.7558, Loss = 0.6942, Decision = 0
Round 72: Accuracy = 0.7550, Loss = 0.6981, Decision = 0
Round 73: Accuracy = 0.7546, Loss = 0.7021, Decision = 0
Round 74: Accuracy = 0.7537, Loss = 0.7062, Decision = 0
Round 75: Accuracy = 0.7528, Loss = 0.7108, Decision = 0
Round 76: Accuracy = 0.7525, Loss = 0.7150, Decision = 0
Round 77: Accuracy = 0.7512, Loss = 0.7196, Decision = 0
Round 78: Accuracy = 0.7502, Loss = 0.7238, Decision = 0
Round 79: Accuracy = 0.7497, Loss = 0.7276, Decision = 0
Round 80: Accuracy = 0.7487, Loss = 0.7319, Decision = 0
Round 81: Accuracy = 0.7481, Loss = 0.7362, Decision = 0
Round 82: Accuracy = 0.7470, Loss = 0.7404, Decision = 0
Round 83: Accuracy = 0.7458, Loss = 0.7448, Decision = 0
Round 84: Accuracy = 0.7452, Loss = 0.7494, Decision = 0
Round 85: Accuracy = 0.7442, Loss = 0.7533, Decision = 0
Round 86: Accuracy = 0.7439, Loss = 0.7572, Decision = 0
Round 87: Accuracy = 0.7431, Loss = 0.7616, Decision = 0
Round 88: Accuracy = 0.7421, Loss = 0.7660, Decision = 0
Round 89: Accuracy = 0.7407, Loss = 0.7709, Decision = 0
Round 90: Accuracy = 0.7390, Loss = 0.7759, Decision = 0
Round 91: Accuracy = 0.7381, Loss = 0.7806, Decision = 0
Round 92: Accuracy = 0.7364, Loss = 0.7847, Decision = 0
Round 93: Accuracy = 0.7344, Loss = 0.7895, Decision = 0
Round 94: Accuracy = 0.7330, Loss = 0.7948, Decision = 0
Round 95: Accuracy = 0.7318, Loss = 0.7988, Decision = 0
Round 96: Accuracy = 0.7301, Loss = 0.8035, Decision = 0
Round 97: Accuracy = 0.7294, Loss = 0.8086, Decision = 0
Round 98: Accuracy = 0.7286, Loss = 0.8137, Decision = 0
Round 99: Accuracy = 0.7275, Loss = 0.8186, Decision = 0
Round 100: Accuracy = 0.7266, Loss = 0.8236, Decision = 0
Round 101: Accuracy = 0.7252, Loss = 0.8283, Decision = 0
Round 102: Accuracy = 0.7240, Loss = 0.8339, Decision = 0
