Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8752, Test accuracy: 0.8242
Round 0: Accuracy = 0.8243, Loss = 0.3897, Decision = 0
Round 1: Accuracy = 0.8246, Loss = 0.3896, Decision = 0
Round 2: Accuracy = 0.8246, Loss = 0.3891, Decision = 0
Round 3: Accuracy = 0.8245, Loss = 0.3889, Decision = 0
Round 4: Accuracy = 0.8251, Loss = 0.3888, Decision = 0
Round 5: Accuracy = 0.8251, Loss = 0.3887, Decision = 0
Round 6: Accuracy = 0.8254, Loss = 0.3886, Decision = 0
Round 7: Accuracy = 0.8252, Loss = 0.3886, Decision = 0
Round 8: Accuracy = 0.8248, Loss = 0.3885, Decision = 0
Round 9: Accuracy = 0.8250, Loss = 0.3887, Decision = 0
Round 10: Accuracy = 0.8245, Loss = 0.3886, Decision = 0
Round 11: Accuracy = 0.8243, Loss = 0.3886, Decision = 0
Round 12: Accuracy = 0.8237, Loss = 0.3891, Decision = 0
Round 13: Accuracy = 0.8239, Loss = 0.3894, Decision = 0
Round 14: Accuracy = 0.8238, Loss = 0.3895, Decision = 0
Round 15: Accuracy = 0.8234, Loss = 0.3903, Decision = 0
Round 16: Accuracy = 0.8238, Loss = 0.3909, Decision = 0
Round 17: Accuracy = 0.8238, Loss = 0.3913, Decision = 0
Round 18: Accuracy = 0.8233, Loss = 0.3916, Decision = 0
Round 19: Accuracy = 0.8232, Loss = 0.3921, Decision = 0
Round 20: Accuracy = 0.8230, Loss = 0.3926, Decision = 0
Round 21: Accuracy = 0.8229, Loss = 0.3930, Decision = 0
Round 22: Accuracy = 0.8230, Loss = 0.3939, Decision = 0
Round 23: Accuracy = 0.8230, Loss = 0.3946, Decision = 0
Round 24: Accuracy = 0.8230, Loss = 0.3951, Decision = 0
Round 25: Accuracy = 0.8227, Loss = 0.3961, Decision = 0
Round 26: Accuracy = 0.8227, Loss = 0.3972, Decision = 0
Round 27: Accuracy = 0.8228, Loss = 0.3982, Decision = 0
Round 28: Accuracy = 0.8225, Loss = 0.3990, Decision = 0
Round 29: Accuracy = 0.8222, Loss = 0.3999, Decision = 0
Round 30: Accuracy = 0.8215, Loss = 0.4014, Decision = 0
Round 31: Accuracy = 0.8208, Loss = 0.4024, Decision = 0
Round 32: Accuracy = 0.8202, Loss = 0.4037, Decision = 0
Round 33: Accuracy = 0.8199, Loss = 0.4050, Decision = 0
Round 34: Accuracy = 0.8195, Loss = 0.4061, Decision = 0
Round 35: Accuracy = 0.8193, Loss = 0.4074, Decision = 0
Round 36: Accuracy = 0.8185, Loss = 0.4087, Decision = 0
Round 37: Accuracy = 0.8181, Loss = 0.4099, Decision = 0
Round 38: Accuracy = 0.8178, Loss = 0.4116, Decision = 0
Round 39: Accuracy = 0.8174, Loss = 0.4134, Decision = 0
Round 40: Accuracy = 0.8170, Loss = 0.4148, Decision = 0
Round 41: Accuracy = 0.8162, Loss = 0.4163, Decision = 0
Round 42: Accuracy = 0.8161, Loss = 0.4179, Decision = 0
