Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8980, Test accuracy: 0.8401
Round 0: Accuracy = 0.8401, Loss = 0.3071, Decision = 0
Round 1: Accuracy = 0.8401, Loss = 0.3060, Decision = 0
Round 2: Accuracy = 0.8400, Loss = 0.3050, Decision = 0
Round 3: Accuracy = 0.8403, Loss = 0.3044, Decision = 0
Round 4: Accuracy = 0.8411, Loss = 0.3037, Decision = 0
Round 5: Accuracy = 0.8418, Loss = 0.3029, Decision = 0
Round 6: Accuracy = 0.8418, Loss = 0.3022, Decision = 0
Round 7: Accuracy = 0.8421, Loss = 0.3012, Decision = 0
Round 8: Accuracy = 0.8421, Loss = 0.3008, Decision = 0
Round 9: Accuracy = 0.8425, Loss = 0.3001, Decision = 0
Round 10: Accuracy = 0.8428, Loss = 0.2997, Decision = 0
Round 11: Accuracy = 0.8430, Loss = 0.2991, Decision = 0
Round 12: Accuracy = 0.8435, Loss = 0.2988, Decision = 0
Round 13: Accuracy = 0.8436, Loss = 0.2983, Decision = 0
Round 14: Accuracy = 0.8435, Loss = 0.2979, Decision = 0
Round 15: Accuracy = 0.8437, Loss = 0.2977, Decision = 0
Round 16: Accuracy = 0.8442, Loss = 0.2972, Decision = 0
Round 17: Accuracy = 0.8442, Loss = 0.2970, Decision = 0
Round 18: Accuracy = 0.8444, Loss = 0.2967, Decision = 0
Round 19: Accuracy = 0.8441, Loss = 0.2965, Decision = 0
Round 20: Accuracy = 0.8440, Loss = 0.2964, Decision = 0
Round 21: Accuracy = 0.8441, Loss = 0.2962, Decision = 0
Round 22: Accuracy = 0.8441, Loss = 0.2960, Decision = 0
Round 23: Accuracy = 0.8439, Loss = 0.2961, Decision = 0
Round 24: Accuracy = 0.8438, Loss = 0.2964, Decision = 0
Round 25: Accuracy = 0.8436, Loss = 0.2966, Decision = 0
Round 26: Accuracy = 0.8430, Loss = 0.2968, Decision = 0
Round 27: Accuracy = 0.8430, Loss = 0.2973, Decision = 0
Round 28: Accuracy = 0.8428, Loss = 0.2977, Decision = 0
Round 29: Accuracy = 0.8430, Loss = 0.2978, Decision = 0
Round 30: Accuracy = 0.8429, Loss = 0.2985, Decision = 0
Round 31: Accuracy = 0.8428, Loss = 0.2987, Decision = 0
Round 32: Accuracy = 0.8426, Loss = 0.2991, Decision = 0
Round 33: Accuracy = 0.8424, Loss = 0.2996, Decision = 0
Round 34: Accuracy = 0.8420, Loss = 0.2998, Decision = 0
Round 35: Accuracy = 0.8424, Loss = 0.3004, Decision = 0
Round 36: Accuracy = 0.8421, Loss = 0.3009, Decision = 0
Round 37: Accuracy = 0.8417, Loss = 0.3017, Decision = 0
Round 38: Accuracy = 0.8415, Loss = 0.3022, Decision = 0
Round 39: Accuracy = 0.8411, Loss = 0.3031, Decision = 0
Round 40: Accuracy = 0.8413, Loss = 0.3036, Decision = 0
Round 41: Accuracy = 0.8418, Loss = 0.3040, Decision = 0
Round 42: Accuracy = 0.8421, Loss = 0.3050, Decision = 0
Round 43: Accuracy = 0.8421, Loss = 0.3061, Decision = 0
Round 44: Accuracy = 0.8415, Loss = 0.3074, Decision = 0
