Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
Round 0: Accuracy = 0.7913, Loss = 0.5429, Decision = 0
Round 1: Accuracy = 0.7913, Loss = 0.5435, Decision = 0
Round 2: Accuracy = 0.7910, Loss = 0.5439, Decision = 0
Round 3: Accuracy = 0.7907, Loss = 0.5447, Decision = 0
Round 4: Accuracy = 0.7904, Loss = 0.5456, Decision = 0
Round 5: Accuracy = 0.7908, Loss = 0.5464, Decision = 0
Round 6: Accuracy = 0.7905, Loss = 0.5474, Decision = 0
Round 7: Accuracy = 0.7903, Loss = 0.5487, Decision = 0
Round 8: Accuracy = 0.7903, Loss = 0.5497, Decision = 0
Round 9: Accuracy = 0.7899, Loss = 0.5505, Decision = 0
Round 10: Accuracy = 0.7894, Loss = 0.5514, Decision = 0
Round 11: Accuracy = 0.7894, Loss = 0.5523, Decision = 0
Round 12: Accuracy = 0.7895, Loss = 0.5535, Decision = 0
Round 13: Accuracy = 0.7894, Loss = 0.5547, Decision = 0
Round 14: Accuracy = 0.7892, Loss = 0.5556, Decision = 0
Round 15: Accuracy = 0.7888, Loss = 0.5567, Decision = 0
Round 16: Accuracy = 0.7886, Loss = 0.5576, Decision = 0
Round 17: Accuracy = 0.7888, Loss = 0.5586, Decision = 0
Round 18: Accuracy = 0.7881, Loss = 0.5601, Decision = 0
Round 19: Accuracy = 0.7877, Loss = 0.5612, Decision = 0
Round 20: Accuracy = 0.7873, Loss = 0.5626, Decision = 0
Round 21: Accuracy = 0.7873, Loss = 0.5639, Decision = 0
Round 22: Accuracy = 0.7864, Loss = 0.5657, Decision = 0
Round 23: Accuracy = 0.7863, Loss = 0.5672, Decision = 0
Round 24: Accuracy = 0.7862, Loss = 0.5688, Decision = 0
Round 25: Accuracy = 0.7856, Loss = 0.5704, Decision = 0
Round 26: Accuracy = 0.7852, Loss = 0.5723, Decision = 0
Round 27: Accuracy = 0.7847, Loss = 0.5742, Decision = 0
Round 28: Accuracy = 0.7842, Loss = 0.5759, Decision = 0
Round 29: Accuracy = 0.7837, Loss = 0.5780, Decision = 0
Round 30: Accuracy = 0.7835, Loss = 0.5794, Decision = 0
Round 31: Accuracy = 0.7827, Loss = 0.5823, Decision = 0
Round 32: Accuracy = 0.7818, Loss = 0.5843, Decision = 0
Round 33: Accuracy = 0.7814, Loss = 0.5864, Decision = 0
Round 34: Accuracy = 0.7813, Loss = 0.5883, Decision = 0
Round 35: Accuracy = 0.7811, Loss = 0.5904, Decision = 0
Round 36: Accuracy = 0.7808, Loss = 0.5921, Decision = 0
Round 37: Accuracy = 0.7802, Loss = 0.5941, Decision = 0
Round 38: Accuracy = 0.7797, Loss = 0.5962, Decision = 0
Round 39: Accuracy = 0.7789, Loss = 0.5985, Decision = 0
Round 40: Accuracy = 0.7784, Loss = 0.6006, Decision = 0
Round 41: Accuracy = 0.7778, Loss = 0.6028, Decision = 0
Round 42: Accuracy = 0.7779, Loss = 0.6051, Decision = 0
Round 43: Accuracy = 0.7768, Loss = 0.6075, Decision = 0
Round 44: Accuracy = 0.7766, Loss = 0.6098, Decision = 0
Round 45: Accuracy = 0.7757, Loss = 0.6121, Decision = 0
Round 46: Accuracy = 0.7752, Loss = 0.6146, Decision = 0
Round 47: Accuracy = 0.7743, Loss = 0.6173, Decision = 0
Round 48: Accuracy = 0.7737, Loss = 0.6201, Decision = 0
Round 49: Accuracy = 0.7734, Loss = 0.6229, Decision = 0
Round 50: Accuracy = 0.7726, Loss = 0.6257, Decision = 0
Round 51: Accuracy = 0.7722, Loss = 0.6283, Decision = 0
Round 52: Accuracy = 0.7722, Loss = 0.6313, Decision = 0
Round 53: Accuracy = 0.7713, Loss = 0.6341, Decision = 0
Round 54: Accuracy = 0.7705, Loss = 0.6369, Decision = 0
Round 55: Accuracy = 0.7691, Loss = 0.6398, Decision = 0
Round 56: Accuracy = 0.7684, Loss = 0.6428, Decision = 0
Round 57: Accuracy = 0.7677, Loss = 0.6459, Decision = 0
Round 58: Accuracy = 0.7670, Loss = 0.6489, Decision = 0
Round 59: Accuracy = 0.7661, Loss = 0.6523, Decision = 0
/home/apiasecz/.conda/envs/cog_fl_llm_env/lib/python3.12/site-packages/torch/autograd/graph.py:744: UserWarning: Plan failed with a cudnnException: CUDNN_BACKEND_EXECUTION_PLAN_DESCRIPTOR: cudnnFinalize Descriptor Failed cudnn_status: CUDNN_STATUS_NOT_SUPPORTED (Triggered internally at /opt/conda/conda-bld/pytorch_1712608847532/work/aten/src/ATen/native/cudnn/Conv_v8.cpp:919.)
  return Variable._execution_engine.run_backward(  # Calls into the C++ engine to run the backward pass
Epoch 1/5, Loss: 1.2518
Epoch 2/5, Loss: 0.7904
Epoch 3/5, Loss: 0.6080
Epoch 4/5, Loss: 0.5065
Epoch 5/5, Loss: 0.4270
Round 60: Accuracy = 0.7651, Loss = 0.7168, Decision = 1
Round 61: Accuracy = 0.8290, Loss = 0.3180, Decision = 0
Round 62: Accuracy = 0.8279, Loss = 0.3189, Decision = 0
Round 63: Accuracy = 0.8275, Loss = 0.3200, Decision = 0
Round 64: Accuracy = 0.8268, Loss = 0.3212, Decision = 0
Round 65: Accuracy = 0.8262, Loss = 0.3222, Decision = 0
Round 66: Accuracy = 0.8262, Loss = 0.3234, Decision = 0
Round 67: Accuracy = 0.8260, Loss = 0.3247, Decision = 0
Round 68: Accuracy = 0.8256, Loss = 0.3257, Decision = 0
Round 69: Accuracy = 0.8252, Loss = 0.3270, Decision = 0
Round 70: Accuracy = 0.8247, Loss = 0.3282, Decision = 0
Round 71: Accuracy = 0.8242, Loss = 0.3293, Decision = 0
Round 72: Accuracy = 0.8239, Loss = 0.3305, Decision = 0
Round 73: Accuracy = 0.8238, Loss = 0.3321, Decision = 0
Round 74: Accuracy = 0.8235, Loss = 0.3335, Decision = 0
Round 75: Accuracy = 0.8233, Loss = 0.3350, Decision = 0
Round 76: Accuracy = 0.8226, Loss = 0.3363, Decision = 0
Round 77: Accuracy = 0.8226, Loss = 0.3378, Decision = 0
Round 78: Accuracy = 0.8229, Loss = 0.3394, Decision = 0
Round 79: Accuracy = 0.8226, Loss = 0.3411, Decision = 0
Round 80: Accuracy = 0.8219, Loss = 0.3426, Decision = 0
Round 81: Accuracy = 0.8218, Loss = 0.3443, Decision = 0
Round 82: Accuracy = 0.8217, Loss = 0.3458, Decision = 0
Round 83: Accuracy = 0.8213, Loss = 0.3474, Decision = 0
Round 84: Accuracy = 0.8211, Loss = 0.3493, Decision = 0
Round 85: Accuracy = 0.8207, Loss = 0.3510, Decision = 0
Round 86: Accuracy = 0.8204, Loss = 0.3524, Decision = 0
Round 87: Accuracy = 0.8194, Loss = 0.3542, Decision = 0
Round 88: Accuracy = 0.8185, Loss = 0.3560, Decision = 0
Round 89: Accuracy = 0.8177, Loss = 0.3574, Decision = 0
Round 90: Accuracy = 0.8173, Loss = 0.3591, Decision = 0
Round 91: Accuracy = 0.8164, Loss = 0.3605, Decision = 0
