Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8832, Test accuracy: 0.8322
Round 0: Accuracy = 0.8320, Loss = 0.3692, Decision = 0
Round 1: Accuracy = 0.8322, Loss = 0.3687, Decision = 0
Round 2: Accuracy = 0.8326, Loss = 0.3680, Decision = 0
Round 3: Accuracy = 0.8331, Loss = 0.3676, Decision = 0
Round 4: Accuracy = 0.8331, Loss = 0.3673, Decision = 0
Round 5: Accuracy = 0.8330, Loss = 0.3665, Decision = 0
Round 6: Accuracy = 0.8333, Loss = 0.3661, Decision = 0
Round 7: Accuracy = 0.8332, Loss = 0.3660, Decision = 0
Round 8: Accuracy = 0.8334, Loss = 0.3659, Decision = 0
Round 9: Accuracy = 0.8330, Loss = 0.3659, Decision = 0
Round 10: Accuracy = 0.8325, Loss = 0.3660, Decision = 0
Round 11: Accuracy = 0.8326, Loss = 0.3663, Decision = 0
Round 12: Accuracy = 0.8325, Loss = 0.3665, Decision = 0
Round 13: Accuracy = 0.8325, Loss = 0.3669, Decision = 0
Round 14: Accuracy = 0.8323, Loss = 0.3667, Decision = 0
Round 15: Accuracy = 0.8323, Loss = 0.3668, Decision = 0
Round 16: Accuracy = 0.8322, Loss = 0.3666, Decision = 0
Round 17: Accuracy = 0.8327, Loss = 0.3668, Decision = 0
Round 18: Accuracy = 0.8329, Loss = 0.3669, Decision = 0
Round 19: Accuracy = 0.8330, Loss = 0.3673, Decision = 0
Round 20: Accuracy = 0.8330, Loss = 0.3675, Decision = 0
Round 21: Accuracy = 0.8324, Loss = 0.3679, Decision = 0
Round 22: Accuracy = 0.8322, Loss = 0.3682, Decision = 0
Round 23: Accuracy = 0.8322, Loss = 0.3689, Decision = 0
Round 24: Accuracy = 0.8325, Loss = 0.3698, Decision = 0
Round 25: Accuracy = 0.8325, Loss = 0.3703, Decision = 0
Round 26: Accuracy = 0.8326, Loss = 0.3709, Decision = 0
Round 27: Accuracy = 0.8326, Loss = 0.3715, Decision = 0
Round 28: Accuracy = 0.8328, Loss = 0.3722, Decision = 0
Round 29: Accuracy = 0.8327, Loss = 0.3727, Decision = 0
Round 30: Accuracy = 0.8324, Loss = 0.3735, Decision = 0
Round 31: Accuracy = 0.8318, Loss = 0.3743, Decision = 0
