Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8980, Test accuracy: 0.8401
Round 0: Accuracy = 0.8400, Loss = 0.3079, Decision = 0
Round 1: Accuracy = 0.8400, Loss = 0.3078, Decision = 0
Round 2: Accuracy = 0.8401, Loss = 0.3078, Decision = 0
Round 3: Accuracy = 0.8401, Loss = 0.3075, Decision = 0
Round 4: Accuracy = 0.8401, Loss = 0.3075, Decision = 0
Round 5: Accuracy = 0.8401, Loss = 0.3074, Decision = 0
Round 6: Accuracy = 0.8401, Loss = 0.3072, Decision = 0
Round 7: Accuracy = 0.8403, Loss = 0.3071, Decision = 0
Round 8: Accuracy = 0.8404, Loss = 0.3070, Decision = 0
Round 9: Accuracy = 0.8404, Loss = 0.3068, Decision = 0
Round 10: Accuracy = 0.8404, Loss = 0.3068, Decision = 0
Round 11: Accuracy = 0.8404, Loss = 0.3067, Decision = 0
Round 12: Accuracy = 0.8404, Loss = 0.3067, Decision = 0
Round 13: Accuracy = 0.8406, Loss = 0.3066, Decision = 0
Round 14: Accuracy = 0.8408, Loss = 0.3066, Decision = 0
Round 15: Accuracy = 0.8408, Loss = 0.3065, Decision = 0
Round 16: Accuracy = 0.8409, Loss = 0.3062, Decision = 0
Round 17: Accuracy = 0.8409, Loss = 0.3061, Decision = 0
Round 18: Accuracy = 0.8409, Loss = 0.3060, Decision = 0
Round 19: Accuracy = 0.8408, Loss = 0.3058, Decision = 0
Round 20: Accuracy = 0.8408, Loss = 0.3057, Decision = 0
Round 21: Accuracy = 0.8410, Loss = 0.3056, Decision = 0
Round 22: Accuracy = 0.8408, Loss = 0.3056, Decision = 0
Round 23: Accuracy = 0.8409, Loss = 0.3054, Decision = 0
Round 24: Accuracy = 0.8410, Loss = 0.3053, Decision = 0
Round 25: Accuracy = 0.8410, Loss = 0.3052, Decision = 0
Round 26: Accuracy = 0.8412, Loss = 0.3052, Decision = 0
Round 27: Accuracy = 0.8413, Loss = 0.3050, Decision = 0
Round 28: Accuracy = 0.8414, Loss = 0.3050, Decision = 0
Round 29: Accuracy = 0.8414, Loss = 0.3048, Decision = 0
Round 30: Accuracy = 0.8414, Loss = 0.3048, Decision = 0
Round 31: Accuracy = 0.8413, Loss = 0.3047, Decision = 0
Round 32: Accuracy = 0.8413, Loss = 0.3046, Decision = 0
Round 33: Accuracy = 0.8412, Loss = 0.3045, Decision = 0
Round 34: Accuracy = 0.8413, Loss = 0.3045, Decision = 0
Round 35: Accuracy = 0.8412, Loss = 0.3044, Decision = 0
Round 36: Accuracy = 0.8413, Loss = 0.3043, Decision = 0
Round 37: Accuracy = 0.8413, Loss = 0.3042, Decision = 0
Round 38: Accuracy = 0.8414, Loss = 0.3042, Decision = 0
Round 39: Accuracy = 0.8414, Loss = 0.3041, Decision = 0
Round 40: Accuracy = 0.8413, Loss = 0.3041, Decision = 0
Round 41: Accuracy = 0.8413, Loss = 0.3040, Decision = 0
Round 42: Accuracy = 0.8414, Loss = 0.3039, Decision = 0
Round 43: Accuracy = 0.8416, Loss = 0.3039, Decision = 0
Round 44: Accuracy = 0.8416, Loss = 0.3038, Decision = 0
Round 45: Accuracy = 0.8417, Loss = 0.3037, Decision = 0
Round 46: Accuracy = 0.8418, Loss = 0.3037, Decision = 0
Round 47: Accuracy = 0.8419, Loss = 0.3036, Decision = 0
Round 48: Accuracy = 0.8419, Loss = 0.3035, Decision = 0
Round 49: Accuracy = 0.8418, Loss = 0.3035, Decision = 0
Round 50: Accuracy = 0.8419, Loss = 0.3035, Decision = 0
Round 51: Accuracy = 0.8420, Loss = 0.3034, Decision = 0
Round 52: Accuracy = 0.8420, Loss = 0.3034, Decision = 0
Round 53: Accuracy = 0.8419, Loss = 0.3033, Decision = 0
Round 54: Accuracy = 0.8419, Loss = 0.3032, Decision = 0
Round 55: Accuracy = 0.8420, Loss = 0.3030, Decision = 0
Round 56: Accuracy = 0.8419, Loss = 0.3030, Decision = 0
Round 57: Accuracy = 0.8419, Loss = 0.3029, Decision = 0
Round 58: Accuracy = 0.8420, Loss = 0.3029, Decision = 0
Round 59: Accuracy = 0.8421, Loss = 0.3028, Decision = 0
Round 60: Accuracy = 0.8422, Loss = 0.3028, Decision = 0
Round 61: Accuracy = 0.8422, Loss = 0.3027, Decision = 0
Round 62: Accuracy = 0.8422, Loss = 0.3027, Decision = 0
Round 63: Accuracy = 0.8421, Loss = 0.3027, Decision = 0
Round 64: Accuracy = 0.8421, Loss = 0.3026, Decision = 0
Round 65: Accuracy = 0.8421, Loss = 0.3025, Decision = 0
Round 66: Accuracy = 0.8420, Loss = 0.3024, Decision = 0
Round 67: Accuracy = 0.8422, Loss = 0.3024, Decision = 0
