Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.1015, Test accuracy: 0.1014
Round 0: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 1: Accuracy = 0.1015, Loss = 2.3031, Decision = 0
Round 2: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 3: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 4: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 5: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 6: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 7: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 8: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 9: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 10: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 11: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 12: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 13: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 14: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 15: Accuracy = 0.1014, Loss = 2.3031, Decision = 0
Round 16: Accuracy = 0.1013, Loss = 2.3031, Decision = 0
Round 17: Accuracy = 0.1012, Loss = 2.3031, Decision = 0
Round 18: Accuracy = 0.1012, Loss = 2.3031, Decision = 0
Round 19: Accuracy = 0.1012, Loss = 2.3031, Decision = 0
Round 20: Accuracy = 0.1012, Loss = 2.3031, Decision = 0
Round 21: Accuracy = 0.1010, Loss = 2.3031, Decision = 0
Round 22: Accuracy = 0.1009, Loss = 2.3031, Decision = 0
Round 23: Accuracy = 0.1009, Loss = 2.3031, Decision = 0
Round 24: Accuracy = 0.1008, Loss = 2.3031, Decision = 0
Round 25: Accuracy = 0.1008, Loss = 2.3031, Decision = 0
Round 26: Accuracy = 0.1008, Loss = 2.3031, Decision = 0
Round 27: Accuracy = 0.1008, Loss = 2.3031, Decision = 0
Round 28: Accuracy = 0.1007, Loss = 2.3031, Decision = 0
Round 29: Accuracy = 0.1006, Loss = 2.3031, Decision = 0
Round 30: Accuracy = 0.1007, Loss = 2.3031, Decision = 0
Round 31: Accuracy = 0.1007, Loss = 2.3031, Decision = 0
Round 32: Accuracy = 0.1007, Loss = 2.3031, Decision = 0
Round 33: Accuracy = 0.1007, Loss = 2.3031, Decision = 0
Round 34: Accuracy = 0.1007, Loss = 2.3031, Decision = 0
Round 35: Accuracy = 0.1007, Loss = 2.3031, Decision = 0
Round 36: Accuracy = 0.1006, Loss = 2.3031, Decision = 0
Round 37: Accuracy = 0.1006, Loss = 2.3031, Decision = 0
Round 38: Accuracy = 0.1006, Loss = 2.3031, Decision = 0
Round 39: Accuracy = 0.1006, Loss = 2.3031, Decision = 0
Round 40: Accuracy = 0.1005, Loss = 2.3031, Decision = 0
Round 41: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 42: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 43: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 44: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 45: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 46: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 47: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 48: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 49: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 50: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 51: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 52: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 53: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 54: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 55: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 56: Accuracy = 0.1004, Loss = 2.3031, Decision = 0
Round 57: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 58: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 59: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 60: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 61: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 62: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 63: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 64: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 65: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 66: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 67: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 68: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 69: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 70: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 71: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 72: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 73: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 74: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 75: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 76: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 77: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 78: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 79: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 80: Accuracy = 0.1003, Loss = 2.3031, Decision = 0
Round 81: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 82: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 83: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 84: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 85: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 86: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 87: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 88: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 89: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 90: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 91: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 92: Accuracy = 0.1002, Loss = 2.3031, Decision = 0
Round 93: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 94: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 95: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 96: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 97: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 98: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 99: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 100: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 101: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 102: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 103: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 104: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 105: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 106: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 107: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 108: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 109: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 110: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 111: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 112: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 113: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 114: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 115: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 116: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 117: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 118: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 119: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 120: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 121: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 122: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 123: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 124: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 125: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 126: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 127: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 128: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 129: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 130: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 131: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
Round 132: Accuracy = 0.1001, Loss = 2.3031, Decision = 0
