Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8752, Test accuracy: 0.8242
Round 0: Accuracy = 0.8244, Loss = 0.3899, Decision = False
Round 1: Accuracy = 0.8245, Loss = 0.3898, Decision = False
Round 2: Accuracy = 0.8246, Loss = 0.3898, Decision = False
Round 3: Accuracy = 0.8246, Loss = 0.3898, Decision = False
Round 4: Accuracy = 0.8246, Loss = 0.3897, Decision = False
Round 5: Accuracy = 0.8246, Loss = 0.3897, Decision = False
Round 6: Accuracy = 0.8247, Loss = 0.3896, Decision = False
Round 7: Accuracy = 0.8246, Loss = 0.3894, Decision = False
Round 8: Accuracy = 0.8246, Loss = 0.3892, Decision = False
Round 9: Accuracy = 0.8244, Loss = 0.3893, Decision = False
Round 10: Accuracy = 0.8244, Loss = 0.3891, Decision = False
Round 11: Accuracy = 0.8243, Loss = 0.3891, Decision = False
Round 12: Accuracy = 0.8245, Loss = 0.3891, Decision = False
Round 13: Accuracy = 0.8245, Loss = 0.3890, Decision = False
Round 14: Accuracy = 0.8245, Loss = 0.3890, Decision = False
Round 15: Accuracy = 0.8246, Loss = 0.3889, Decision = False
Round 16: Accuracy = 0.8248, Loss = 0.3888, Decision = False
Round 17: Accuracy = 0.8247, Loss = 0.3889, Decision = False
Round 18: Accuracy = 0.8246, Loss = 0.3889, Decision = False
Round 19: Accuracy = 0.8248, Loss = 0.3889, Decision = False
Round 20: Accuracy = 0.8246, Loss = 0.3887, Decision = False
Round 21: Accuracy = 0.8245, Loss = 0.3888, Decision = False
Round 22: Accuracy = 0.8244, Loss = 0.3888, Decision = False
Round 23: Accuracy = 0.8243, Loss = 0.3889, Decision = False
Round 24: Accuracy = 0.8244, Loss = 0.3888, Decision = False
Round 25: Accuracy = 0.8242, Loss = 0.3887, Decision = False
Round 26: Accuracy = 0.8241, Loss = 0.3887, Decision = False
Round 27: Accuracy = 0.8239, Loss = 0.3888, Decision = False
Round 28: Accuracy = 0.8241, Loss = 0.3889, Decision = False
Round 29: Accuracy = 0.8241, Loss = 0.3891, Decision = False
Round 30: Accuracy = 0.8242, Loss = 0.3892, Decision = False
Round 31: Accuracy = 0.8241, Loss = 0.3892, Decision = False
Round 32: Accuracy = 0.8237, Loss = 0.3891, Decision = False
Round 33: Accuracy = 0.8237, Loss = 0.3892, Decision = False
Round 34: Accuracy = 0.8236, Loss = 0.3892, Decision = False
Round 35: Accuracy = 0.8236, Loss = 0.3893, Decision = False
Round 36: Accuracy = 0.8233, Loss = 0.3894, Decision = False
Round 37: Accuracy = 0.8233, Loss = 0.3897, Decision = False
Round 38: Accuracy = 0.8231, Loss = 0.3896, Decision = False
Round 39: Accuracy = 0.8229, Loss = 0.3898, Decision = False
Round 40: Accuracy = 0.8229, Loss = 0.3898, Decision = False
Round 41: Accuracy = 0.8228, Loss = 0.3900, Decision = False
Round 42: Accuracy = 0.8229, Loss = 0.3898, Decision = False
Round 43: Accuracy = 0.8228, Loss = 0.3901, Decision = False
Round 44: Accuracy = 0.8229, Loss = 0.3899, Decision = False
Round 45: Accuracy = 0.8229, Loss = 0.3901, Decision = False
Round 46: Accuracy = 0.8232, Loss = 0.3904, Decision = False
Round 47: Accuracy = 0.8232, Loss = 0.3906, Decision = False
Round 48: Accuracy = 0.8233, Loss = 0.3908, Decision = False
Round 49: Accuracy = 0.8232, Loss = 0.3911, Decision = False
Round 50: Accuracy = 0.8231, Loss = 0.3912, Decision = False
Round 51: Accuracy = 0.8231, Loss = 0.3915, Decision = False
Round 52: Accuracy = 0.8232, Loss = 0.3916, Decision = False
Round 53: Accuracy = 0.8233, Loss = 0.3916, Decision = False
Round 54: Accuracy = 0.8231, Loss = 0.3919, Decision = False
Round 55: Accuracy = 0.8229, Loss = 0.3921, Decision = False
Round 56: Accuracy = 0.8227, Loss = 0.3921, Decision = False
Round 57: Accuracy = 0.8227, Loss = 0.3922, Decision = False
Round 58: Accuracy = 0.8230, Loss = 0.3923, Decision = False
Round 59: Accuracy = 0.8229, Loss = 0.3925, Decision = False
Round 60: Accuracy = 0.8231, Loss = 0.3928, Decision = False
Round 61: Accuracy = 0.8232, Loss = 0.3930, Decision = False
Round 62: Accuracy = 0.8232, Loss = 0.3933, Decision = False
Round 63: Accuracy = 0.8229, Loss = 0.3934, Decision = False
Round 64: Accuracy = 0.8229, Loss = 0.3935, Decision = False
Round 65: Accuracy = 0.8228, Loss = 0.3937, Decision = False
Round 66: Accuracy = 0.8226, Loss = 0.3941, Decision = False
Round 67: Accuracy = 0.8223, Loss = 0.3943, Decision = False
Round 68: Accuracy = 0.8220, Loss = 0.3945, Decision = False
