Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8829, Test accuracy: 0.8295
Round 0: Accuracy = 0.8292, Loss = 0.3608, Decision = 0
Round 1: Accuracy = 0.8293, Loss = 0.3606, Decision = 0
Round 2: Accuracy = 0.8290, Loss = 0.3605, Decision = 0
Round 3: Accuracy = 0.8293, Loss = 0.3606, Decision = 0
Round 4: Accuracy = 0.8289, Loss = 0.3605, Decision = 0
Round 5: Accuracy = 0.8291, Loss = 0.3605, Decision = 0
Round 6: Accuracy = 0.8293, Loss = 0.3605, Decision = 0
Round 7: Accuracy = 0.8291, Loss = 0.3606, Decision = 0
Round 8: Accuracy = 0.8285, Loss = 0.3607, Decision = 0
Round 9: Accuracy = 0.8285, Loss = 0.3608, Decision = 0
Round 10: Accuracy = 0.8285, Loss = 0.3610, Decision = 0
Round 11: Accuracy = 0.8284, Loss = 0.3614, Decision = 0
Round 12: Accuracy = 0.8287, Loss = 0.3619, Decision = 0
Round 13: Accuracy = 0.8289, Loss = 0.3621, Decision = 0
Round 14: Accuracy = 0.8289, Loss = 0.3623, Decision = 0
Round 15: Accuracy = 0.8289, Loss = 0.3630, Decision = 0
Round 16: Accuracy = 0.8288, Loss = 0.3635, Decision = 0
Round 17: Accuracy = 0.8290, Loss = 0.3639, Decision = 0
Round 18: Accuracy = 0.8286, Loss = 0.3643, Decision = 0
Round 19: Accuracy = 0.8283, Loss = 0.3650, Decision = 0
Round 20: Accuracy = 0.8286, Loss = 0.3654, Decision = 0
Round 21: Accuracy = 0.8289, Loss = 0.3659, Decision = 0
Round 22: Accuracy = 0.8290, Loss = 0.3669, Decision = 0
Round 23: Accuracy = 0.8288, Loss = 0.3673, Decision = 0
Round 24: Accuracy = 0.8286, Loss = 0.3681, Decision = 0
Round 25: Accuracy = 0.8290, Loss = 0.3692, Decision = 0
Round 26: Accuracy = 0.8288, Loss = 0.3702, Decision = 0
Round 27: Accuracy = 0.8288, Loss = 0.3710, Decision = 0
Round 28: Accuracy = 0.8286, Loss = 0.3718, Decision = 0
Round 29: Accuracy = 0.8280, Loss = 0.3727, Decision = 0
Round 30: Accuracy = 0.8274, Loss = 0.3738, Decision = 0
Round 31: Accuracy = 0.8273, Loss = 0.3749, Decision = 0
Round 32: Accuracy = 0.8274, Loss = 0.3760, Decision = 0
Round 33: Accuracy = 0.8276, Loss = 0.3771, Decision = 0
Round 34: Accuracy = 0.8277, Loss = 0.3785, Decision = 0
Round 35: Accuracy = 0.8275, Loss = 0.3801, Decision = 0
Round 36: Accuracy = 0.8277, Loss = 0.3814, Decision = 0
Round 37: Accuracy = 0.8276, Loss = 0.3827, Decision = 0
Round 38: Accuracy = 0.8273, Loss = 0.3838, Decision = 0
Round 39: Accuracy = 0.8268, Loss = 0.3854, Decision = 0
