Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
Round 0: Accuracy = 0.7913, Loss = 0.5425, Decision = 0
Round 1: Accuracy = 0.7915, Loss = 0.5427, Decision = 0
Round 2: Accuracy = 0.7914, Loss = 0.5430, Decision = 0
Round 3: Accuracy = 0.7914, Loss = 0.5433, Decision = 0
Round 4: Accuracy = 0.7915, Loss = 0.5433, Decision = 0
Round 5: Accuracy = 0.7915, Loss = 0.5436, Decision = 0
Round 6: Accuracy = 0.7913, Loss = 0.5437, Decision = 0
Round 7: Accuracy = 0.7910, Loss = 0.5440, Decision = 0
Round 8: Accuracy = 0.7908, Loss = 0.5442, Decision = 0
Round 9: Accuracy = 0.7904, Loss = 0.5444, Decision = 0
Round 10: Accuracy = 0.7905, Loss = 0.5448, Decision = 0
Round 11: Accuracy = 0.7904, Loss = 0.5451, Decision = 0
Round 12: Accuracy = 0.7903, Loss = 0.5454, Decision = 0
Round 13: Accuracy = 0.7899, Loss = 0.5457, Decision = 0
Round 14: Accuracy = 0.7899, Loss = 0.5460, Decision = 0
Round 15: Accuracy = 0.7901, Loss = 0.5463, Decision = 0
Round 16: Accuracy = 0.7902, Loss = 0.5465, Decision = 0
Round 17: Accuracy = 0.7899, Loss = 0.5470, Decision = 0
Round 18: Accuracy = 0.7898, Loss = 0.5473, Decision = 0
Round 19: Accuracy = 0.7898, Loss = 0.5475, Decision = 0
Round 20: Accuracy = 0.7896, Loss = 0.5478, Decision = 0
Round 21: Accuracy = 0.7897, Loss = 0.5481, Decision = 0
Round 22: Accuracy = 0.7896, Loss = 0.5486, Decision = 0
Round 23: Accuracy = 0.7893, Loss = 0.5492, Decision = 0
Round 24: Accuracy = 0.7893, Loss = 0.5496, Decision = 0
Round 25: Accuracy = 0.7892, Loss = 0.5500, Decision = 0
Round 26: Accuracy = 0.7892, Loss = 0.5504, Decision = 0
Round 27: Accuracy = 0.7891, Loss = 0.5506, Decision = 0
Round 28: Accuracy = 0.7892, Loss = 0.5509, Decision = 0
Round 29: Accuracy = 0.7893, Loss = 0.5510, Decision = 0
Round 30: Accuracy = 0.7891, Loss = 0.5513, Decision = 0
Round 31: Accuracy = 0.7892, Loss = 0.5517, Decision = 0
Round 32: Accuracy = 0.7892, Loss = 0.5519, Decision = 0
Round 33: Accuracy = 0.7892, Loss = 0.5522, Decision = 0
Round 34: Accuracy = 0.7893, Loss = 0.5526, Decision = 0
Round 35: Accuracy = 0.7893, Loss = 0.5529, Decision = 0
Round 36: Accuracy = 0.7891, Loss = 0.5535, Decision = 0
Round 37: Accuracy = 0.7893, Loss = 0.5539, Decision = 0
Round 38: Accuracy = 0.7890, Loss = 0.5541, Decision = 0
Round 39: Accuracy = 0.7888, Loss = 0.5546, Decision = 0
Round 40: Accuracy = 0.7887, Loss = 0.5551, Decision = 0
Round 41: Accuracy = 0.7885, Loss = 0.5555, Decision = 0
Round 42: Accuracy = 0.7885, Loss = 0.5560, Decision = 0
Round 43: Accuracy = 0.7883, Loss = 0.5562, Decision = 0
Round 44: Accuracy = 0.7884, Loss = 0.5566, Decision = 0
Round 45: Accuracy = 0.7883, Loss = 0.5571, Decision = 0
Round 46: Accuracy = 0.7881, Loss = 0.5575, Decision = 0
Round 47: Accuracy = 0.7880, Loss = 0.5579, Decision = 0
Round 48: Accuracy = 0.7879, Loss = 0.5580, Decision = 0
Round 49: Accuracy = 0.7878, Loss = 0.5583, Decision = 0
Round 50: Accuracy = 0.7879, Loss = 0.5586, Decision = 0
Round 51: Accuracy = 0.7876, Loss = 0.5590, Decision = 0
Round 52: Accuracy = 0.7877, Loss = 0.5593, Decision = 0
Round 53: Accuracy = 0.7876, Loss = 0.5597, Decision = 0
Round 54: Accuracy = 0.7876, Loss = 0.5603, Decision = 0
Round 55: Accuracy = 0.7874, Loss = 0.5607, Decision = 0
Round 56: Accuracy = 0.7873, Loss = 0.5612, Decision = 0
Round 57: Accuracy = 0.7871, Loss = 0.5616, Decision = 0
Round 58: Accuracy = 0.7869, Loss = 0.5621, Decision = 0
Round 59: Accuracy = 0.7867, Loss = 0.5625, Decision = 0
Round 60: Accuracy = 0.7864, Loss = 0.5629, Decision = 0
Round 61: Accuracy = 0.7863, Loss = 0.5633, Decision = 0
Round 62: Accuracy = 0.7862, Loss = 0.5637, Decision = 0
Round 63: Accuracy = 0.7863, Loss = 0.5642, Decision = 0
Round 64: Accuracy = 0.7863, Loss = 0.5647, Decision = 0
Round 65: Accuracy = 0.7864, Loss = 0.5652, Decision = 0
Round 66: Accuracy = 0.7866, Loss = 0.5657, Decision = 0
Round 67: Accuracy = 0.7862, Loss = 0.5661, Decision = 0
Round 68: Accuracy = 0.7861, Loss = 0.5667, Decision = 0
Round 69: Accuracy = 0.7859, Loss = 0.5675, Decision = 0
Round 70: Accuracy = 0.7860, Loss = 0.5680, Decision = 0
Round 71: Accuracy = 0.7860, Loss = 0.5686, Decision = 0
Round 72: Accuracy = 0.7858, Loss = 0.5691, Decision = 0
Round 73: Accuracy = 0.7855, Loss = 0.5694, Decision = 0
Round 74: Accuracy = 0.7853, Loss = 0.5700, Decision = 0
Round 75: Accuracy = 0.7850, Loss = 0.5706, Decision = 0
Round 76: Accuracy = 0.7848, Loss = 0.5710, Decision = 0
Round 77: Accuracy = 0.7848, Loss = 0.5716, Decision = 0
Round 78: Accuracy = 0.7847, Loss = 0.5723, Decision = 0
Round 79: Accuracy = 0.7846, Loss = 0.5729, Decision = 0
Round 80: Accuracy = 0.7841, Loss = 0.5735, Decision = 0
Round 81: Accuracy = 0.7840, Loss = 0.5739, Decision = 0
Round 82: Accuracy = 0.7840, Loss = 0.5747, Decision = 0
Round 83: Accuracy = 0.7836, Loss = 0.5753, Decision = 0
Round 84: Accuracy = 0.7835, Loss = 0.5759, Decision = 0
Round 85: Accuracy = 0.7835, Loss = 0.5767, Decision = 0
Round 86: Accuracy = 0.7834, Loss = 0.5771, Decision = 0
Round 87: Accuracy = 0.7832, Loss = 0.5775, Decision = 0
Round 88: Accuracy = 0.7831, Loss = 0.5782, Decision = 0
Round 89: Accuracy = 0.7829, Loss = 0.5790, Decision = 0
Round 90: Accuracy = 0.7827, Loss = 0.5797, Decision = 0
Round 91: Accuracy = 0.7826, Loss = 0.5801, Decision = 0
Round 92: Accuracy = 0.7826, Loss = 0.5806, Decision = 0
Round 93: Accuracy = 0.7825, Loss = 0.5812, Decision = 0
Round 94: Accuracy = 0.7822, Loss = 0.5821, Decision = 0
Round 95: Accuracy = 0.7819, Loss = 0.5828, Decision = 0
Round 96: Accuracy = 0.7818, Loss = 0.5838, Decision = 0
Round 97: Accuracy = 0.7818, Loss = 0.5846, Decision = 0
Round 98: Accuracy = 0.7813, Loss = 0.5853, Decision = 0
Round 99: Accuracy = 0.7811, Loss = 0.5859, Decision = 0
Round 100: Accuracy = 0.7807, Loss = 0.5866, Decision = 0
Round 101: Accuracy = 0.7806, Loss = 0.5872, Decision = 0
Round 102: Accuracy = 0.7803, Loss = 0.5879, Decision = 0
Round 103: Accuracy = 0.7802, Loss = 0.5886, Decision = 0
Round 104: Accuracy = 0.7802, Loss = 0.5892, Decision = 0
Round 105: Accuracy = 0.7801, Loss = 0.5900, Decision = 0
Round 106: Accuracy = 0.7799, Loss = 0.5906, Decision = 0
Round 107: Accuracy = 0.7797, Loss = 0.5915, Decision = 0
Round 108: Accuracy = 0.7797, Loss = 0.5923, Decision = 0
Round 109: Accuracy = 0.7795, Loss = 0.5930, Decision = 0
Round 110: Accuracy = 0.7795, Loss = 0.5935, Decision = 0
Round 111: Accuracy = 0.7794, Loss = 0.5941, Decision = 0
Round 112: Accuracy = 0.7792, Loss = 0.5947, Decision = 0
Round 113: Accuracy = 0.7793, Loss = 0.5953, Decision = 0
Round 114: Accuracy = 0.7790, Loss = 0.5961, Decision = 0
Round 115: Accuracy = 0.7785, Loss = 0.5969, Decision = 0
Round 116: Accuracy = 0.7784, Loss = 0.5976, Decision = 0
Round 117: Accuracy = 0.7781, Loss = 0.5984, Decision = 0
Round 118: Accuracy = 0.7780, Loss = 0.5991, Decision = 0
Round 119: Accuracy = 0.7780, Loss = 0.5998, Decision = 0
Round 120: Accuracy = 0.7778, Loss = 0.6005, Decision = 0
Round 121: Accuracy = 0.7779, Loss = 0.6011, Decision = 0
Round 122: Accuracy = 0.7776, Loss = 0.6019, Decision = 0
Round 123: Accuracy = 0.7776, Loss = 0.6027, Decision = 0
Round 124: Accuracy = 0.7777, Loss = 0.6034, Decision = 0
Round 125: Accuracy = 0.7774, Loss = 0.6041, Decision = 0
Round 126: Accuracy = 0.7769, Loss = 0.6047, Decision = 0
Round 127: Accuracy = 0.7771, Loss = 0.6055, Decision = 0
Round 128: Accuracy = 0.7772, Loss = 0.6062, Decision = 0
Round 129: Accuracy = 0.7772, Loss = 0.6067, Decision = 0
Round 130: Accuracy = 0.7776, Loss = 0.6077, Decision = 0
Round 131: Accuracy = 0.7773, Loss = 0.6082, Decision = 0
Round 132: Accuracy = 0.7770, Loss = 0.6090, Decision = 0
Round 133: Accuracy = 0.7769, Loss = 0.6099, Decision = 0
Round 134: Accuracy = 0.7770, Loss = 0.6106, Decision = 0
Round 135: Accuracy = 0.7767, Loss = 0.6115, Decision = 0
Round 136: Accuracy = 0.7763, Loss = 0.6122, Decision = 0
Round 137: Accuracy = 0.7757, Loss = 0.6131, Decision = 0
Round 138: Accuracy = 0.7754, Loss = 0.6140, Decision = 0
Round 139: Accuracy = 0.7751, Loss = 0.6147, Decision = 0
Round 140: Accuracy = 0.7750, Loss = 0.6155, Decision = 0
Round 141: Accuracy = 0.7752, Loss = 0.6165, Decision = 0
Round 142: Accuracy = 0.7751, Loss = 0.6172, Decision = 0
Round 143: Accuracy = 0.7748, Loss = 0.6182, Decision = 0
Round 144: Accuracy = 0.7747, Loss = 0.6192, Decision = 0
Round 145: Accuracy = 0.7739, Loss = 0.6202, Decision = 0
Round 146: Accuracy = 0.7738, Loss = 0.6210, Decision = 0
Round 147: Accuracy = 0.7737, Loss = 0.6220, Decision = 0
Round 148: Accuracy = 0.7733, Loss = 0.6230, Decision = 0
Round 149: Accuracy = 0.7731, Loss = 0.6241, Decision = 0
Round 150: Accuracy = 0.7729, Loss = 0.6250, Decision = 0
Round 151: Accuracy = 0.7729, Loss = 0.6256, Decision = 0
Round 152: Accuracy = 0.7729, Loss = 0.6266, Decision = 0
Round 153: Accuracy = 0.7728, Loss = 0.6274, Decision = 0
Round 154: Accuracy = 0.7728, Loss = 0.6285, Decision = 0
Round 155: Accuracy = 0.7728, Loss = 0.6294, Decision = 0
Round 156: Accuracy = 0.7727, Loss = 0.6302, Decision = 0
Round 157: Accuracy = 0.7728, Loss = 0.6311, Decision = 0
Round 158: Accuracy = 0.7725, Loss = 0.6321, Decision = 0
Round 159: Accuracy = 0.7725, Loss = 0.6330, Decision = 0
Round 160: Accuracy = 0.7726, Loss = 0.6342, Decision = 0
Round 161: Accuracy = 0.7724, Loss = 0.6352, Decision = 0
Round 162: Accuracy = 0.7721, Loss = 0.6361, Decision = 0
Round 163: Accuracy = 0.7717, Loss = 0.6371, Decision = 0
Round 164: Accuracy = 0.7717, Loss = 0.6379, Decision = 0
Round 165: Accuracy = 0.7715, Loss = 0.6387, Decision = 0
Round 166: Accuracy = 0.7714, Loss = 0.6398, Decision = 0
Round 167: Accuracy = 0.7711, Loss = 0.6410, Decision = 0
Round 168: Accuracy = 0.7705, Loss = 0.6421, Decision = 0
Round 169: Accuracy = 0.7702, Loss = 0.6428, Decision = 0
Round 170: Accuracy = 0.7699, Loss = 0.6438, Decision = 0
Round 171: Accuracy = 0.7697, Loss = 0.6446, Decision = 0
Round 172: Accuracy = 0.7695, Loss = 0.6459, Decision = 0
Round 173: Accuracy = 0.7695, Loss = 0.6469, Decision = 0
Round 174: Accuracy = 0.7691, Loss = 0.6477, Decision = 0
Round 175: Accuracy = 0.7691, Loss = 0.6489, Decision = 0
Round 176: Accuracy = 0.7689, Loss = 0.6499, Decision = 0
Round 177: Accuracy = 0.7684, Loss = 0.6512, Decision = 0
Round 178: Accuracy = 0.7684, Loss = 0.6523, Decision = 0
Round 179: Accuracy = 0.7682, Loss = 0.6537, Decision = 0
Round 180: Accuracy = 0.7680, Loss = 0.6547, Decision = 0
Round 181: Accuracy = 0.7677, Loss = 0.6557, Decision = 0
Round 182: Accuracy = 0.7674, Loss = 0.6567, Decision = 0
Round 183: Accuracy = 0.7672, Loss = 0.6577, Decision = 0
Round 184: Accuracy = 0.7667, Loss = 0.6589, Decision = 0
Round 185: Accuracy = 0.7660, Loss = 0.6600, Decision = 0
Round 186: Accuracy = 0.7656, Loss = 0.6608, Decision = 0
Round 187: Accuracy = 0.7654, Loss = 0.6623, Decision = 0
Round 188: Accuracy = 0.7652, Loss = 0.6634, Decision = 0
Round 189: Accuracy = 0.7646, Loss = 0.6644, Decision = 0
Round 190: Accuracy = 0.7645, Loss = 0.6660, Decision = 0
Round 191: Accuracy = 0.7637, Loss = 0.6670, Decision = 0
Round 192: Accuracy = 0.7631, Loss = 0.6681, Decision = 0
Round 193: Accuracy = 0.7631, Loss = 0.6694, Decision = 0
Round 194: Accuracy = 0.7631, Loss = 0.6703, Decision = 0
Round 195: Accuracy = 0.7626, Loss = 0.6718, Decision = 0
Round 196: Accuracy = 0.7621, Loss = 0.6729, Decision = 0
Round 197: Accuracy = 0.7617, Loss = 0.6740, Decision = 0
Round 198: Accuracy = 0.7617, Loss = 0.6753, Decision = 0
Round 199: Accuracy = 0.7609, Loss = 0.6764, Decision = 0
